year,age,event,category1,category2,New_Column,Name
1949,35,"After an early career on the stage, Alec Guinness was featured in several of the Ealing comedies, including Kind Hearts and Coronets (1949), in which Alec Guinness played eight different characters, The Lavender Hill Mob (1951), for which Alec Guinness received Alec Guinness's first Academy Award nomination, and The Ladykillers (1955).",summary,,Alec Guinness.csv,Alec Guinness
1959,45,In 1959 Alec Guinness was knighted by Queen Elizabeth II for services to the arts.,summary,,Alec Guinness.csv,Alec Guinness
1960,46,"Alec Guinness received a star on the Hollywood Walk of Fame in 1960, the Academy Honorary Award for lifetime achievement in 1980 and the BAFTA Academy Fellowship Award in 1989.",summary,,Alec Guinness.csv,Alec Guinness
1934,20,"Alec Guinness's first job in the theatre was on Alec Guinness's 20th birthday (2 April 1934), while Alec Guinness was a student at the Fay Compton Studio of Dramatic Art, in the play Libel, which opened at the old King's Theatre, Hammersmith, and then transferred to the West End's's Playhouse, where Alec Guinness's status was raised from a walk-on to understudying two lines, and Alec Guinness's salary increased to £1 a week.",Early career,,Alec Guinness.csv,Alec Guinness
1946,32,"Alec Guinness returned to the Old Vic in 1946 and stayed until 1948, playing Abel Drugger in Ben Jonson's The Alchemist, the Fool in King Lear opposite Laurence Olivier in the title role, DeGuiche in Cyrano de Bergerac opposite Ralph Richardson in the title role, and finally starring in an the Old Vic production as Shakespeare's's Richard II.",Postwar stage career,,Alec Guinness.csv,Alec Guinness
1989,75,"Alec Guinness made Alec Guinness's final stage performance at the Comedy Theatre in the West End on 30 May 1989, in the play A Walk in the Woods.",Postwar stage career,,Alec Guinness.csv,Alec Guinness
1946,32,Alec Guinness made Alec Guinness's speaking debut in film in the drama Great Expectations (1946).,Film career,,Alec Guinness.csv,Alec Guinness
1949,35,"However, Alec Guinness was initially best associated mainly with the Ealing Comedies, and particularly for playing nine characters in Kind Hearts and Coronets (1949).",Film career,,Alec Guinness.csv,Alec Guinness
1970,56,Alec Guinness was also offered a role in director David Lean's Ryan's Daughter (1970) but declined.,Film career,David Lean,Alec Guinness.csv,Alec Guinness
1946,32,A biography claimed that Alec Guinness was arrested and fined 10 guineas (£10.50) for a homosexual act in a public lavatory in Liverpool in 1946.,Personal life,,Alec Guinness.csv,Alec Guinness
1957,43,"His wife, who was of paternal Sephardi Jewish descent, followed suit in 1957 while Alec Guinness was in Ceylon filming The Bridge on the River Kwai, and His wife, who was of paternal Sephardi Jewish descent, informed Alec Guinness only after filming.Alec Guinness told a story in a media interview and wrote in Alec Guinness's memoir that Alec Guinness met James Dean and predicted James Dean's death one week before James Dean was killed in a car accident in",Personal life,,Alec Guinness.csv,Alec Guinness
2000,86,"Alec Guinness died on the night of 5 August 2000 at King Edward VII's Hospital in Midhurst, West Sussex.",Death,,Alec Guinness.csv,Alec Guinness
2000,86,"Alec Guinness had been diagnosed with prostate cancer in February 2000, and with liver cancer two days before Alec Guinness died; Alec Guinness's wife, who died on 18 October 2000, also had liver cancer.",Death,,Alec Guinness.csv,Alec Guinness
1985,71,"Alec Guinness wrote three volumes of a best-selling autobiography, beginning with Blessings in Disguise in 1985, followed by My Name Escapes Me in 1996, and A Positively Final Appearance in 1999.",Autobiographies and biography,,Alec Guinness.csv,Alec Guinness
1999,118,"In 1999, Alexander Fleming was named in Time magazine's list of the 100 Most Important People of the 20th century.",summary,,Alexander Fleming.csv,Alexander Fleming
2002,121,"In 2002, Alexander Fleming was chosen in the BBC's television poll for determining the 100 Greatest Britons, and in 2009, Alexander Fleming was also voted third ""greatest Scot"" in an opinion poll conducted by STV, behind only Robert Burns and William Wallace.",summary,,Alexander Fleming.csv,Alexander Fleming
1816,-65,"farmer Hugh Fleming (1816–1888) was 59 at the time of farmer Hugh Fleming (1816–1888)'s second marriage to Grace Stirling Morton (1848–1928), the daughter of a neighbouring farmer, and died when Alexander Fleming was seven.Alexander Fleming went to Loudoun Moor School and Darvel School, and earned a two-year scholarship to Kilmarnock Academy before moving to London, where Alexander Fleming attended the Royal Polytechnic Institution.",Early life and education,,Alexander Fleming.csv,Alexander Fleming
1918,37,"In 1918 Alexander Fleming returned to St Mary's Hospital, where Alexander Fleming was elected Professor of Bacteriology of the University of London in 1928.",Early life and education,,Alexander Fleming.csv,Alexander Fleming
1951,70,In 1951 Alexander Fleming was elected the Rector of the University of Edinburgh for a term of three years.,Early life and education,,Alexander Fleming.csv,Alexander Fleming
1945,64,"In Alexander Fleming's Nobel lecture on 11 December 1945, Alexander Fleming briefly mentioned lysozyme, saying, ""Penicillin was not the first antibiotic Alexander Fleming happened to discover.""",Scientific contributions,Discovery of lysozyme,Alexander Fleming.csv,Alexander Fleming
1928,47,Alexander Fleming gave some of Alexander Fleming's original penicillin samples to his colleague-surgeon Arthur Dickson Wright for clinical test in 1928.,Scientific contributions,Discovery of penicillin,Alexander Fleming.csv,Alexander Fleming
1921,40,"From 1921 until Alexander Fleming's death in 1955, Alexander Fleming owned a country home named ""The Dhoon"" in Barton Mills, Suffolk.",Personal life,,Alexander Fleming.csv,Alexander Fleming
1955,74,"On 11 March 1955, Alexander Fleming died at Alexander Fleming's home in London of a heart attack.",Death,,Alexander Fleming.csv,Alexander Fleming
1955,56,"Known as the ""Master of Suspense"", Alfred Hitchcock became as well known as any of Alfred Hitchcock's actors thanks to Alfred Hitchcock's many interviews, Alfred Hitchcock's cameo roles in most of his films, and Alfred Hitchcock's hosting and producing the television anthology Alfred Hitchcock Presents (1955–65).",summary,,Alfred Hitchcock.csv,Alfred Hitchcock
1935,36,Alfred Hitchcock's thrillers The 39 Steps (1935) and The Lady Vanishes (1938) are ranked among the greatest British films of the 20th century.,summary,,Alfred Hitchcock.csv,Alfred Hitchcock
1944,45,"Alfred Hitchcock also received the Academy Award for Best Picture nominations for Lifeboat (1944), Spellbound (1945), Rear Window (1954) and Psycho (1960).Hitchcock's other notable films include Rope (1948), Strangers on a Train (1951), Dial M for Murder (1954), To Catch a Thief (1955), The Trouble with Harry (1955),  Vertigo (1958), North by Northwest (1959), The Birds (1963) and",summary,,Alfred Hitchcock.csv,Alfred Hitchcock
1955,56,"Alfred Hitchcock became an American citizen in 1955.In 2012, Alfred Hitchcock's psychological thriller Vertigo, starring James Stewart, displaced Orson Welles' Citizen Kane (1941) as the British Film Institute's's greatest film ever made based on the British Film Institute's's world-wide poll of hundreds of film critics.",summary,,Alfred Hitchcock.csv,Alfred Hitchcock
2021,122,"As of 2021[update], nine of Alfred Hitchcock's films had been selected for preservation in the United States National Film Registry, including Alfred Hitchcock's personal favourite, Shadow of a Doubt (1943). Alfred Hitchcock received the BAFTA Fellowship in 1971, the AFI Life Achievement Award in 1979, and was knighted in December of 1979, four months before Alfred Hitchcock's death on 29 April 1980.",summary,,Alfred Hitchcock.csv,Alfred Hitchcock
1899,0,"Alfred Hitchcock was born on 13 August 1899 in the flat above his parents''s leased greengrocer's shop at 517 High Road in Leytonstone, which was then part of Essex (now on the outskirts of East London).",Biography,Early life: 1899–1919,Alfred Hitchcock.csv,Alfred Hitchcock
1863,-36,"Alfred Hitchcock was the son of Emma Jane (née Whelan; 1863–1942) and William Edgar Hitchcock (1862–1914), and had an older brother named William Daniel (1890–1943) and an older sister named Ellen Kathleen (1892–1979) who used the nickname ""Nellie"".",Biography,Early life: 1899–1919,Alfred Hitchcock.csv,Alfred Hitchcock
1862,-37,"One of Alfred Hitchcock's favourite stories for interviewers was about William Edgar Hitchcock (1862–1914) sending Alfred Hitchcock to the local police station with a note when Alfred Hitchcock was five; the policeman looked at a note and locked Alfred Hitchcock in a cell for a few minutes, saying, ""locked is what we do to naughty boys.""",Biography,Early life: 1899–1919,Alfred Hitchcock.csv,Alfred Hitchcock
1910,11,"family moved again when Alfred Hitchcock was eleven, this time to Putney, and on 5 October 1910 Alfred Hitchcock was sent to St Ignatius College in Stamford Hill, a Jesuit grammar school with a reputation for discipline.",Biography,Early life: 1899–1919,Alfred Hitchcock.csv,Alfred Hitchcock
1900,1,The school register lists Alfred Hitchcock's year of birth as 1900 rather than 1899; biographer Donald Spoto says Alfred Hitchcock was deliberately enrolled as a ten-year-old because Alfred Hitchcock was a year behind with Alfred Hitchcock's schooling.,Biography,Early life: 1899–1919,Alfred Hitchcock.csv,Alfred Hitchcock
1913,14,"For example, if A clapperboard showed ""Scene 23; Take 3"", Alfred Hitchcock would whisper ""Woodford, Hampstead""—Woodford being the terminus of the route 23 tram, and Hampstead""—Woodford the end of route Alfred Hitchcock told his parents' that Alfred Hitchcock wanted to be an engineer, and on 25 July 1913, Alfred Hitchcock left St Ignatius College in Stamford Hill, a Jesuit grammar school with a reputation for discipline and enrolled in night classes at the London County Council School of Engineering and Navigation in Poplar.",Biography,Early life: 1899–1919,Alfred Hitchcock.csv,Alfred Hitchcock
1962,63,"In a book-length interview in 1962, Alfred Hitchcock told biographer Patrick McGilligan that Alfred Hitchcock had studied ""mechanics, electricity, acoustics, and navigation"".",Biography,Early life: 1899–1919,Alfred Hitchcock.csv,Alfred Hitchcock
1925,26,"Alfred Hitchcock had wanted the leading man to be guilty, or for The Pleasure Garden (1925), starring Virginia Valli, a co-production of Gainsborough and the German firm Emelka at the Geiselgasteig studio near Munich at least to end ambiguously, but the leading man was Ivor Novello, a matinée idol, and the ""star system"" meant that Ivor Novello, a matinée idol could not be the villain.",Biography,Inter-war career: 1919–1939,Alfred Hitchcock.csv,Alfred Hitchcock
1925,26,"Alfred Hitchcock made Alfred Hitchcock's first cameo appearance in The Pleasure Garden (1925), starring Virginia Valli, a co-production of Gainsborough and the German firm Emelka at the Geiselgasteig studio near Munich, sitting in a newsroom.",Biography,Inter-war career: 1919–1939,Alfred Hitchcock.csv,Alfred Hitchcock
1938,39,"By 1938, Alfred Hitchcock was aware that Alfred Hitchcock had reached Alfred Hitchcock's peak in Britain.",Biography,Inter-war career: 1919–1939,Alfred Hitchcock.csv,Alfred Hitchcock
1938,39,"In July 1938, Alfred Hitchcock flew to New York, and found that Alfred Hitchcock was already a celebrity; Alfred Hitchcock was featured in magazines and gave interviews to radio stations.",Biography,Inter-war career: 1919–1939,Alfred Hitchcock.csv,Alfred Hitchcock
1999,100,"the script for a spy thriller, The Short Night was eventually published in David Freeman's book The Last Days of Alfred Hitchcock (1999).Having refused a CBE in 1962, Alfred Hitchcock was appointed a Knight Commander of the Most Excellent Order of the British Empire (KBE) in the 1980 New Year Honours.",Biography,Later years: 1966–1980,Alfred Hitchcock.csv,Alfred Hitchcock
